MonthStart,Revenue,COGS,GrossProfit,GrossMargin
2024-03-01,7866318.16,3281863.63,4584454.53,0.5828
2024-04-01,8613300.98,3465663.41,5147637.57,0.5976
2024-05-01,8351083.83,3656194.77,4694889.06,0.5622
2024-06-01,8701489.17,3495153.75,5206335.42,0.5983
2024-07-01,8501262.3,3410770.88,5090491.42,0.5988
2024-08-01,8758062.97,3598528.08,5159534.89,0.5891
2024-09-01,8882197.01,3592882.67,5289314.34,0.5955
2024-10-01,9603023.18,3858296.21,5744726.97,0.5982
2024-11-01,9067372.2,3610633.35,5456738.85,0.6018
2024-12-01,9313655.95,3864502.14,5449153.81,0.5851
2025-01-01,9503364.21,4206946.88,5296417.33,0.5573
2025-02-01,9881951.47,3852572.42,6029379.05,0.6101
2025-03-01,10128708.64,3895406.83,6233301.81,0.6154
2025-04-01,10430822.79,3868728.29,6562094.5,0.6291
2025-05-01,10279431.06,4080359.37,6199071.69,0.6031
2025-06-01,10632836.36,4241829.52,6391006.84,0.6011
2025-07-01,10607209.08,4149636.52,6457572.56,0.6088
2025-08-01,11054639.97,4238266.4,6816373.57,0.6166
2025-09-01,10851420.61,4281305.59,6570115.02,0.6055
2025-10-01,10972950.77,4233588.08,6739362.69,0.6142
2025-11-01,11009004.19,4592436.14,6416568.05,0.5828
2025-12-01,11354598.13,4403817.1,6950781.03,0.6122
2026-01-01,11290502.46,4548796.01,6741706.45,0.5971
2026-02-01,11687436.96,4429319.63,7258117.33,0.621
